timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20150729_210417 50 1 2 10 100000 792850679 179 10000 0 9880 419 179 39 2500 1 9528 9295 233 178 30000 100 0 0 1 151.329 57.611 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 9509498 q3-extractinstructions.txt 20150729_210753 0.5 55b2afeb7768392c683f051c
20150729_205724 50 1 2 10 100000 664375964 908 10000 0 5308 9997 908 39 2500 1 8524 7564 960 905 30000 100 0 0 7 444.338 68.905 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed664375964.log 26565477 q3-extractinstructions.txt 20150729_210754 0.5 55b2afeb7768392c683f0515
20150729_210203 50 1 2 10 100000 519606501 737 10000 0 5408 9998 737 39 2500 1 8578 7784 794 735 30000 100 0 0 6 338.819 81.105 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed519606501.log 23789085 q3-extractinstructions.txt 20150729_211021 0.5 55b2afeb7768392c683f051a
20150729_210401 50 1 2 10 100000 715258232 798 10000 0 5441 10000 798 39 2500 1 8671 7824 847 798 30000 100 0 0 6 304.756 77.158 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed715258232.log 23851858 q3-extractinstructions.txt 20150729_211144 0.5 55b2afeb7768392c683f051b
20150729_210139 50 1 2 10 100000 817713633 1073 10000 0 4949 9998 1073 39 2500 1 7981 6867 1114 1071 30000 100 0 0 9 426.449 92.993 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed817713633.log 32053657 q3-extractinstructions.txt 20150729_211221 0.5 55b2afeb7768392c683f0519
20150729_210614 50 1 3 10 100000 141246882 7 10000 0 7121 10000 7 39 2500 1 13666 12109 1557 7 30000 100 0 0 6 397.713 89.466 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 23970217 q3-extractinstructions.txt 20150729_211548 0.5 55b2afeb7768392c683f051f
20150729_210453 50 1 3 10 100000 919028296 11 10000 0 6989 10000 11 39 2500 1 13660 11699 1961 11 30000 100 0 0 7 460.685 95.239 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 29948231 q3-extractinstructions.txt 20150729_211612 0.5 55b2afeb7768392c683f051d
20150729_210519 50 1 3 10 100000 103765041 143 10000 0 7024 10000 143 39 2500 1 13479 11820 1659 143 30000 100 0 0 7 451.726 102.898 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 28861553 q3-extractinstructions.txt 20150729_211626 0.5 55b2afeb7768392c683f051e
20150729_211226 50 1 3 10 100000 420477893 3 10000 0 9999 438 3 39 2500 1 14537 13934 603 3 30000 100 0 0 1 263.210 77.205 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 12136411 q3-extractinstructions.txt 20150729_211820 0.5 55b2afeb7768392c683f0524
20150729_210816 50 1 3 10 100000 117661523 6 10000 0 7138 10000 6 39 2500 1 13904 12364 1540 6 30000 100 0 0 5 438.083 83.258 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 23915982 q3-extractinstructions.txt 20150729_211826 0.5 55b2afeb7768392c683f0521
20150729_210853 50 1 3 10 100000 105731136 12 10000 0 7156 10000 12 39 2500 1 13969 12417 1552 12 30000 100 0 0 5 467.354 89.341 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 24065521 q3-extractinstructions.txt 20150729_211934 0.5 55b2afeb7768392c683f0522
20150729_211152 50 1 3 10 100000 967561224 5 10000 0 9894 1211 5 39 2500 1 14122 13051 1071 5 30000 100 0 0 3 361.118 88.53 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 18036948 q3-extractinstructions.txt 20150729_211955 0.5 55b2afeb7768392c683f0523
20150729_210752 50 1 3 10 100000 681028781 18 10000 0 7026 9998 18 39 2500 1 13787 11763 2024 16 30000 100 0 0 8 540.801 93.195 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 31082157 q3-extractinstructions.txt 20150729_212030 0.5 55b2afeb7768392c683f0520
20150729_211242 50 1 3 10 100000 263688301 10 10000 0 6936 9998 10 39 2500 1 13639 11844 1795 7 30000 100 0 0 8 516.343 91.448 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 26975948 q3-extractinstructions.txt 20150729_212355 0.5 55b2afeb7768392c683f0525
20150729_212003 50 1 3 10 100000 258760793 2 10000 0 9911 962 2 39 2500 1 14354 13568 786 1 30000 100 0 0 2 275.374 66.144 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed258760793.log 15143560 q3-extractinstructions.txt 20150729_212614 0.5 55b2afeb7768392c683f052b
20150729_211704 50 1 3 10 100000 711283608 9 10000 0 7146 9996 9 39 2500 1 13912 12260 1652 5 30000 100 0 0 6 463.577 88.0 ../Q3/./log/doc50cop3shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed711283608.log 24021966 q3-extractinstructions.txt 20150729_212726 0.5 55b2afeb7768392c683f0528
